time,iti_s,type,iti_TR,cond_frames,cond_ms,texture_id
0.0,6.4,dur,4,0,0,62
6.4,6.4,dur,4,2,17,84
12.8,6.4,dur,4,32,267,151
19.2,6.4,isi,4,4,33,32
25.6,9.6,dur,6,8,67,95
35.2,8.0,dur,5,4,33,61
43.2,12.8,dur,8,2,17,142
56.0,12.8,dur,8,4,33,81
68.8,11.2,dur,7,32,267,43
80.0,8.0,dur,5,64,533,116
88.0,6.4,dur,4,4,33,143
94.4,4.8,dur,3,64,533,13
99.2,11.2,dur,7,16,134,146
110.4,4.8,isi,3,2,17,140
115.2,12.8,isi,8,4,33,64
128.0,8.0,isi,5,8,67,145
136.0,9.6,isi,6,2,17,88
145.6,8.0,isi,5,8,67,65
153.6,4.8,isi,3,8,67,29
158.4,8.0,dur,5,16,134,129
166.4,4.8,isi,3,16,134,55
171.2,8.0,dur,5,0,0,110
179.2,6.4,dur,4,8,67,51
185.6,6.4,dur,4,0,0,78
192.0,4.8,dur,3,32,267,37
196.8,11.2,isi,7,32,267,106
208.0,6.4,isi,4,64,533,138
214.4,14.4,dur,9,16,134,115
228.8,12.8,dur,8,64,533,149
241.6,4.8,dur,3,8,67,36
246.4,11.2,isi,7,64,533,126
257.6,8.0,isi,5,32,267,59
265.6,4.8,isi,3,4,33,44
270.4,8.0,isi,5,2,17,130
278.4,11.2,isi,7,16,134,24
289.6,9.6,dur,6,2,17,79
299.2,6.4,isi,4,64,533,19
305.6,6.4,isi,4,32,267,123
312.0,8.0,isi,5,16,134,69
