time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,texture_id
0.0,8.0,dur,5,5,2,17,101
8.0,8.0,dur,5,10,2,17,114
16.0,4.8,dur,3,13,0,0,130
20.8,17.6,isi,11,24,64,533,25
38.4,4.8,dur,3,27,32,267,90
43.2,4.8,dur,3,30,8,67,151
48.0,16.0,dur,10,40,64,533,3
64.0,4.8,dur,3,43,4,33,105
68.8,6.4,dur,4,47,64,533,107
75.2,4.8,dur,3,50,64,533,92
80.0,8.0,dur,5,55,8,67,34
88.0,8.0,dur,5,60,16,134,67
96.0,12.8,dur,8,68,0,0,43
108.8,6.4,isi,4,72,64,533,148
115.2,6.4,dur,4,76,32,267,11
121.6,4.8,dur,3,79,32,267,127
126.4,4.8,dur,3,82,2,17,132
131.2,4.8,dur,3,85,32,267,97
136.0,11.2,dur,7,92,4,33,45
147.2,9.6,dur,6,98,4,33,106
156.8,8.0,dur,5,103,16,134,115
164.8,9.6,dur,6,109,16,134,5
174.4,9.6,dur,6,115,32,267,44
184.0,11.2,dur,7,122,8,67,63
195.2,4.8,dur,3,125,4,33,123
200.0,12.8,dur,8,133,0,0,136
212.8,9.6,dur,6,139,64,533,128
222.4,6.4,isi,4,143,64,533,9
228.8,6.4,isi,4,147,64,533,15
235.2,11.2,dur,7,154,0,0,81
246.4,4.8,dur,3,157,4,33,8
251.2,4.8,dur,3,160,2,17,157
256.0,6.4,dur,4,164,8,67,31
262.4,9.6,dur,6,170,16,134,143
272.0,4.8,dur,3,173,64,533,74
276.8,6.4,dur,4,177,16,134,155
283.2,8.0,dur,5,182,0,0,73
291.2,4.8,isi,3,185,64,533,86
296.0,12.8,dur,8,193,2,17,18
308.8,11.2,dur,7,200,8,67,117
